マンション名,都,区,区域,間取り,間取りDK,間取りK,間取りL,間取りS,築年数,建物高さ,階,専有面積,賃料+管理費,敷/礼,路線1,駅1,徒歩1,賃料,管理費,敷金,礼金
COSMOSGRACIAUchikanda【コスモグラシア内神田】,東京都,千代田区,内神田２,2,1,0,1,1,0,7,4,47,256000,236000,ＪＲ山手線,神田駅,4,236000,20000,0,236000
テルセーロ三鈴,東京都,千代田区,岩本町１,2,1,0,1,0,25,8,4,64,227000,430000,東京メトロ日比谷線,小伝馬町駅,5,215000,12000,215000,215000
レジディア神田岩本町,東京都,千代田区,岩本町２,1,0,0,0,0,19,15,7,22,96000,172000,都営新宿線,岩本町駅,3,86000,10000,86000,86000
ＪＲ山手線秋葉原駅15階建築17年,東京都,千代田区,外神田４,1,0,0,0,0,17,15,4,23,118000,0,ＪＲ山手線,秋葉原駅,5,103000,15000,0,0
ベスティエ秋葉原,東京都,千代田区,東神田２,2,1,0,1,1,1,10,8,61,279500,271000,都営新宿線,岩本町駅,5,271000,8500,0,271000
都営新宿線岩本町駅10階建築1年,東京都,千代田区,東神田２,2,1,0,1,0,1,10,8,61,279500,271000,都営新宿線,岩本町駅,5,271000,8500,0,271000
アルビオ・ザ・タワー千代田飯田橋,東京都,千代田区,飯田橋４,1,1,0,1,0,2,24,7,44,260000,500000,東京メトロ東西線,飯田橋駅,2,250000,10000,250000,250000
ルジェンテ千代田神保町,東京都,千代田区,神田神保町１,1,1,0,1,0,8,13,3,34,175000,326000,東京メトロ半蔵門線,神保町駅,3,163000,12000,163000,163000
ダイナシティ神保町,東京都,千代田区,神田神保町２,1,1,0,1,0,16,14,3,32,139000,408000,都営三田線,神保町駅,3,136000,3000,272000,136000
シュトラーレ四番町,東京都,千代田区,四番町,1,1,0,1,0,3,4,4,46,222000,218000,都営新宿線,市ケ谷駅,4,218000,4000,0,218000
レジディア神田岩本町2,東京都,千代田区,岩本町２,1,1,0,1,0,16,13,6,42,174000,318000,都営新宿線,岩本町駅,3,159000,15000,159000,159000
ザ・パークハウス麹町テラス,東京都,千代田区,麹町３,1,1,0,1,0,1,9,4,36,210000,390000,東京メトロ有楽町線,麹町駅,4,195000,15000,195000,195000
チェスターコート御茶ノ水,東京都,千代田区,神田小川町３,1,0,0,0,0,16,14,13,27,129000,119000,都営新宿線,小川町駅,3,119000,10000,119000,0
紀尾井町ガーデンタワー,東京都,千代田区,紀尾井町,2,1,0,1,0,34,26,24,134,700000,2800000,東京メトロ有楽町線,麹町駅,2,700000,0,2800000,0
都営新宿線市ケ谷駅11階建築19年,東京都,千代田区,九段北４,1,1,0,1,1,19,11,10,47,230000,460000,都営新宿線,市ケ谷駅,1,230000,0,230000,230000
